epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.198,6.31713,4.99481,4.13905,0.00181,0.06138,0.00247,0.00099,0,0,2834,5.34579,4.62383,4.05446,0.0700815,0.00332428,0.00332428
2,272.031,4.57572,3.82501,3.18281,0.05134,0.04794,0.02087,0.00533,0.00031,7e-05,2834,4.05819,3.06966,2.6989,0.0400376,0.00661367,0.00661367
3,406.111,3.50873,2.67973,2.25852,0.42878,0.09083,0.06888,0.02506,0.00256,0.00075,2834,3.23162,2.28435,2.0972,0.00994964,0.00985906,0.00985906
4,539.228,2.80029,2.12335,1.85348,0.48854,0.1166,0.1195,0.04953,0.00651,0.00167,2834,2.4906,1.90768,1.73271,0.009802,0.009802,0.009802
5,673.325,2.44393,1.82502,1.66669,0.43569,0.21967,0.19745,0.08875,0.01313,0.00389,2834,2.16115,1.61597,1.57181,0.009736,0.009736,0.009736
6,807.182,2.21313,1.57502,1.54085,0.54183,0.2483,0.2362,0.11232,0.01766,0.00485,2834,2.01953,1.45999,1.49175,0.00967,0.00967,0.00967
7,940.373,2.09215,1.44245,1.47091,0.50855,0.25903,0.24415,0.11446,0.01408,0.00429,2834,2.06549,1.36473,1.47808,0.009604,0.009604,0.009604
8,1071.14,1.99263,1.33714,1.41597,0.48858,0.31156,0.30368,0.15439,0.02518,0.00851,2834,1.84356,1.20539,1.38899,0.009538,0.009538,0.009538
9,1203.03,1.91005,1.25572,1.37664,0.42752,0.31791,0.30414,0.15479,0.02063,0.00668,2834,1.81306,1.26289,1.37134,0.009472,0.009472,0.009472
10,1334.34,1.85652,1.1972,1.34709,0.52891,0.35715,0.36157,0.19446,0.01877,0.00575,2834,1.72589,1.09071,1.31657,0.009406,0.009406,0.009406
11,1465.55,1.80637,1.1521,1.32008,0.53264,0.34417,0.36213,0.19737,0.02151,0.00733,2834,1.76016,1.09046,1.32478,0.00934,0.00934,0.00934
12,1596.34,1.76052,1.10524,1.29661,0.50846,0.3871,0.36807,0.2005,0.02781,0.00861,2834,1.66113,1.04044,1.28613,0.009274,0.009274,0.009274
