epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.385,6.2835,4.95487,4.17814,0.00839,0.01188,0.00217,0.00052,0,0,2834,5.45353,5.89496,4.21872,0.0700815,0.00332428,0.00332428
2,647.426,4.46927,3.68612,3.10675,0.55434,0.05553,0.02504,0.00701,0.0003,7e-05,2834,4.08138,3.00611,2.68469,0.0400376,0.00661367,0.00661367
3,944.484,3.43943,2.63404,2.22536,0.5959,0.07356,0.04898,0.01627,0.00136,0.00027,2834,3.62552,5.58834,2.19054,0.00994964,0.00985906,0.00985906
4,1238.28,2.77037,2.12664,1.84828,0.48327,0.13321,0.12248,0.04945,0.00967,0.0025,2834,2.5446,1.81354,1.7513,0.009802,0.009802,0.009802
5,1527.43,2.42575,1.82344,1.6631,0.44395,0.2146,0.18468,0.08398,0.01435,0.00463,2834,2.23256,1.54819,1.60806,0.009736,0.009736,0.009736
6,1815.16,2.22596,1.60516,1.5554,0.5902,0.20882,0.22362,0.11113,0.01361,0.00406,2834,2.07494,1.51522,1.51663,0.00967,0.00967,0.00967
7,2106.71,2.1114,1.46426,1.48969,0.58176,0.2544,0.26584,0.12943,0.01704,0.00512,2834,2.01559,1.29307,1.45664,0.009604,0.009604,0.009604
8,2527.82,2.00133,1.36044,1.4326,0.59065,0.26832,0.28423,0.14175,0.02402,0.00723,2834,1.90432,1.24357,1.40771,0.009538,0.009538,0.009538
9,2772.66,1.92686,1.27577,1.3928,0.51912,0.28746,0.29993,0.1594,0.01866,0.00571,2834,1.82063,1.17076,1.36934,0.009472,0.009472,0.009472
10,2918.17,1.88088,1.22213,1.36084,0.48271,0.33305,0.32113,0.17223,0.02027,0.00648,2834,1.77188,1.16351,1.34131,0.009406,0.009406,0.009406
11,3060.97,1.82059,1.16721,1.33322,0.52581,0.34352,0.35175,0.18896,0.02356,0.00721,2834,1.76308,1.10093,1.32775,0.00934,0.00934,0.00934
