epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3287.44,1.44493,0.84378,1.10386,0.71347,0.49145,0.54994,0.33004,1.34065,0.76895,1.07772,0.007162,0.007162,0.007162
45,3359.92,1.43504,0.83168,1.09866,0.72253,0.46798,0.54132,0.33232,1.34454,0.77343,1.0732,0.007096,0.007096,0.007096
46,3432.5,1.43279,0.83374,1.0938,0.69496,0.49439,0.55677,0.34262,1.34569,0.76207,1.07417,0.00703,0.00703,0.00703
47,3505.57,1.42893,0.8277,1.0946,0.76294,0.48229,0.56087,0.34339,1.32769,0.75961,1.06605,0.006964,0.006964,0.006964
48,3577.98,1.40577,0.81508,1.08694,0.71102,0.50208,0.56554,0.35121,1.31679,0.75328,1.05714,0.006898,0.006898,0.006898
49,3650.68,1.43182,0.82431,1.08663,0.73346,0.49114,0.55741,0.34435,1.32233,0.75543,1.06535,0.006832,0.006832,0.006832
50,3723.29,1.41922,0.81643,1.08901,0.72464,0.51348,0.57172,0.34962,1.33261,0.74964,1.07075,0.006766,0.006766,0.006766
51,3795.68,1.40742,0.80851,1.08036,0.71131,0.5199,0.57384,0.35239,1.31469,0.75076,1.06206,0.0067,0.0067,0.0067
52,3868.99,1.40643,0.80646,1.08087,0.71905,0.51153,0.57105,0.35061,1.31377,0.74115,1.0605,0.006634,0.006634,0.006634
53,3941.2,1.40491,0.81172,1.07841,0.7768,0.49868,0.5739,0.35401,1.30705,0.73866,1.05554,0.006568,0.006568,0.006568
54,4013.78,1.37744,0.7905,1.07403,0.71308,0.52647,0.58577,0.36205,1.30541,0.72803,1.05666,0.006502,0.006502,0.006502
55,4086.54,1.40312,0.80206,1.07661,0.74681,0.50955,0.58591,0.36191,1.29726,0.73074,1.04918,0.006436,0.006436,0.006436
56,4159.01,1.38774,0.79655,1.07551,0.76541,0.51403,0.5913,0.36558,1.3013,0.73163,1.05486,0.00637,0.00637,0.00637
57,4231.77,1.38705,0.78722,1.06963,0.73732,0.52971,0.59095,0.36274,1.29459,0.72614,1.04922,0.006304,0.006304,0.006304
58,4303.97,1.38653,0.78295,1.06344,0.7698,0.5177,0.59695,0.36934,1.29399,0.71329,1.0498,0.006238,0.006238,0.006238
59,4376.85,1.36755,0.77396,1.05949,0.72766,0.51409,0.58253,0.36405,1.29344,0.72128,1.04711,0.006172,0.006172,0.006172
60,4449.43,1.37403,0.78279,1.06723,0.74432,0.53418,0.59764,0.37087,1.27939,0.71578,1.04025,0.006106,0.006106,0.006106
61,4522.06,1.36037,0.76933,1.05665,0.76407,0.5138,0.5987,0.37154,1.28347,0.71577,1.04288,0.00604,0.00604,0.00604
62,4595.03,1.36671,0.77866,1.05947,0.74102,0.52726,0.60135,0.37478,1.27889,0.71176,1.04223,0.005974,0.005974,0.005974
63,4668.04,1.3592,0.77056,1.0585,0.72754,0.53878,0.60088,0.37372,1.27,0.70841,1.03306,0.005908,0.005908,0.005908
64,4740.84,1.35416,0.76116,1.05399,0.74518,0.52845,0.60291,0.37697,1.27019,0.70621,1.03618,0.005842,0.005842,0.005842
65,4813.66,1.35622,0.76296,1.04984,0.75154,0.53167,0.60523,0.37943,1.27105,0.69811,1.03745,0.005776,0.005776,0.005776
66,4886.46,1.34667,0.76223,1.05319,0.72932,0.54658,0.6021,0.37421,1.26662,0.69928,1.03523,0.00571,0.00571,0.00571
67,4959.48,1.33897,0.75813,1.04866,0.76968,0.53175,0.60595,0.37787,1.25837,0.70359,1.0331,0.005644,0.005644,0.005644
68,5032.23,1.33166,0.75023,1.04791,0.71239,0.53719,0.60044,0.37468,1.2602,0.70594,1.02909,0.005578,0.005578,0.005578
69,5105.25,1.31948,0.74874,1.04511,0.73745,0.54901,0.61646,0.38437,1.24983,0.68859,1.02902,0.005512,0.005512,0.005512
70,5177.99,1.33751,0.7536,1.04989,0.76543,0.54903,0.61629,0.38134,1.25639,0.69103,1.02718,0.005446,0.005446,0.005446
71,5250.98,1.32468,0.74376,1.04241,0.80874,0.53389,0.62339,0.38974,1.24536,0.68744,1.02355,0.00538,0.00538,0.00538
72,5323.59,1.32113,0.73996,1.04429,0.74005,0.55261,0.61613,0.38644,1.25462,0.69124,1.0287,0.005314,0.005314,0.005314
73,5396.13,1.31804,0.7383,1.03809,0.73506,0.5654,0.62453,0.38862,1.25242,0.68252,1.02579,0.005248,0.005248,0.005248
74,5469.13,1.31678,0.73267,1.03906,0.74591,0.56168,0.63123,0.39468,1.24345,0.67356,1.02183,0.005182,0.005182,0.005182
75,5541.61,1.31171,0.73939,1.03667,0.78014,0.55227,0.63051,0.39753,1.23178,0.6719,1.01715,0.005116,0.005116,0.005116
76,5614.51,1.29224,0.7212,1.02747,0.79016,0.53924,0.62519,0.39236,1.23342,0.6759,1.01808,0.00505,0.00505,0.00505
77,5687.35,1.2964,0.72531,1.03474,0.74687,0.56528,0.62779,0.3924,1.22458,0.67085,1.01584,0.004984,0.004984,0.004984
78,5759.82,1.29329,0.71935,1.03289,0.73844,0.5631,0.62629,0.39385,1.22727,0.66904,1.01281,0.004918,0.004918,0.004918
79,5832.82,1.30004,0.71973,1.02933,0.78764,0.54261,0.63292,0.39594,1.22956,0.66539,1.01484,0.004852,0.004852,0.004852
80,5905.57,1.28299,0.71683,1.03116,0.76337,0.55949,0.6333,0.3991,1.22038,0.66578,1.01325,0.004786,0.004786,0.004786
81,5978.44,1.28635,0.7175,1.02623,0.77413,0.5584,0.63889,0.40157,1.21931,0.65787,1.01229,0.00472,0.00472,0.00472
82,6051.33,1.29957,0.7203,1.02875,0.76259,0.56822,0.64077,0.40457,1.21624,0.65697,1.00986,0.004654,0.004654,0.004654
83,6124.07,1.28362,0.71317,1.02788,0.78888,0.55242,0.64104,0.40441,1.21606,0.65861,1.00868,0.004588,0.004588,0.004588
84,6196.76,1.2822,0.71421,1.02694,0.77668,0.55558,0.6363,0.40278,1.21377,0.65452,1.00976,0.004522,0.004522,0.004522
85,6269.5,1.27833,0.71266,1.02272,0.7572,0.56423,0.64051,0.40499,1.20805,0.65797,1.00647,0.004456,0.004456,0.004456
86,6342.3,1.27128,0.70633,1.02142,0.76729,0.58032,0.64624,0.40929,1.20834,0.6552,1.00475,0.00439,0.00439,0.00439
87,6415.08,1.2621,0.70465,1.01921,0.77709,0.57379,0.64591,0.41115,1.2077,0.64621,1.0075,0.004324,0.004324,0.004324
88,6487.98,1.26636,0.69803,1.02056,0.77504,0.56252,0.64305,0.40824,1.20799,0.64678,1.00653,0.004258,0.004258,0.004258
89,6560.91,1.27498,0.70275,1.01982,0.76172,0.57444,0.64114,0.40821,1.20945,0.64748,1.00742,0.004192,0.004192,0.004192
90,6633.66,1.27475,0.70339,1.0195,0.76996,0.57686,0.65118,0.41161,1.20013,0.64594,1.0036,0.004126,0.004126,0.004126
91,6706.56,1.26119,0.69392,1.0187,0.75015,0.57896,0.64707,0.40873,1.20266,0.64582,1.00352,0.00406,0.00406,0.00406
92,6779.37,1.25633,0.69523,1.01792,0.7752,0.56795,0.64624,0.4082,1.19982,0.64479,1.00092,0.003994,0.003994,0.003994
93,6852.18,1.26212,0.69427,1.01207,0.74572,0.5903,0.64812,0.41052,1.19439,0.63977,1.00216,0.003928,0.003928,0.003928
94,6925.07,1.2449,0.68609,1.01135,0.76301,0.59313,0.66108,0.41874,1.18648,0.63507,0.99844,0.003862,0.003862,0.003862
95,6997.95,1.25586,0.69515,1.01568,0.76401,0.58947,0.65656,0.4161,1.18904,0.63788,0.99813,0.003796,0.003796,0.003796
96,7070.86,1.24838,0.69084,1.00827,0.77734,0.57801,0.65381,0.41578,1.19162,0.63835,0.99827,0.00373,0.00373,0.00373
97,7143.94,1.24578,0.68889,1.00862,0.7569,0.58866,0.65692,0.41416,1.19035,0.63575,0.99651,0.003664,0.003664,0.003664
98,7216.62,1.2487,0.68658,1.00808,0.78263,0.58921,0.65893,0.4201,1.18808,0.63379,0.99761,0.003598,0.003598,0.003598
99,7289.86,1.23188,0.67592,1.00041,0.78154,0.5862,0.65856,0.41984,1.17963,0.63038,0.99501,0.003532,0.003532,0.003532
100,7362.58,1.23662,0.6779,1.00783,0.78801,0.58503,0.66073,0.41949,1.1858,0.63405,0.99569,0.003466,0.003466,0.003466
101,7435.66,1.24155,0.67749,1.00689,0.8218,0.56638,0.66039,0.42296,1.17883,0.62483,0.99261,0.0034,0.0034,0.0034
102,7508.5,1.22746,0.67799,1.00329,0.78019,0.58186,0.65962,0.42019,1.17917,0.62334,0.99317,0.003334,0.003334,0.003334
103,7581.18,1.22365,0.67243,1.00152,0.78961,0.5812,0.66396,0.42381,1.17808,0.62471,0.9931,0.003268,0.003268,0.003268
104,7654.27,1.22652,0.67418,1.00073,0.78641,0.5858,0.66181,0.42027,1.17995,0.62306,0.99445,0.003202,0.003202,0.003202
105,7726.86,1.22747,0.67552,1.00488,0.78114,0.58211,0.66065,0.42629,1.17184,0.62459,0.99,0.003136,0.003136,0.003136
106,7799.91,1.21925,0.66747,0.99961,0.7938,0.59313,0.66674,0.42634,1.16703,0.62008,0.98837,0.00307,0.00307,0.00307
107,7872.72,1.22997,0.6696,1.00168,0.79695,0.58514,0.66421,0.42724,1.17003,0.61926,0.98931,0.003004,0.003004,0.003004
108,7945.91,1.21745,0.66664,0.99537,0.772,0.59869,0.66719,0.42523,1.1691,0.61865,0.98893,0.002938,0.002938,0.002938
109,8019.09,1.2086,0.66369,0.99589,0.79959,0.58797,0.66898,0.4251,1.17375,0.61836,0.99015,0.002872,0.002872,0.002872
110,8092.15,1.21253,0.65968,0.99726,0.79206,0.58115,0.66251,0.42574,1.16799,0.61547,0.98753,0.002806,0.002806,0.002806
111,8165.34,1.20158,0.65718,0.99828,0.78331,0.59649,0.66478,0.42932,1.1672,0.61577,0.987,0.00274,0.00274,0.00274
112,8238.15,1.20241,0.65365,0.99283,0.78537,0.588,0.6677,0.42996,1.16232,0.61382,0.98509,0.002674,0.002674,0.002674
113,8311.08,1.20791,0.65931,0.99432,0.77986,0.59134,0.66436,0.42984,1.16212,0.61151,0.98596,0.002608,0.002608,0.002608
114,8384.28,1.20006,0.65152,0.99063,0.76421,0.59696,0.67222,0.4305,1.16654,0.61334,0.98746,0.002542,0.002542,0.002542
115,8457.35,1.18721,0.6478,0.99204,0.80255,0.58713,0.67195,0.43088,1.16089,0.61053,0.98584,0.002476,0.002476,0.002476
116,8530.73,1.19419,0.65394,0.99031,0.80208,0.5872,0.67118,0.43438,1.16065,0.60892,0.98476,0.00241,0.00241,0.00241
117,8603.64,1.19407,0.65227,0.9938,0.7953,0.5914,0.66859,0.43073,1.15877,0.61016,0.98377,0.002344,0.002344,0.002344
118,8677.04,1.18327,0.64467,0.98747,0.76524,0.59734,0.67083,0.43293,1.15383,0.60761,0.98293,0.002278,0.002278,0.002278
119,8750.16,1.19239,0.6514,0.98822,0.81114,0.58139,0.67402,0.43427,1.15727,0.60755,0.9826,0.002212,0.002212,0.002212
120,8823.36,1.18593,0.65064,0.98922,0.81992,0.57317,0.67097,0.4355,1.15345,0.60896,0.98142,0.002146,0.002146,0.002146
121,8896.55,1.16687,0.63768,0.9797,0.80774,0.58826,0.67015,0.43253,1.15086,0.60643,0.9806,0.00208,0.00208,0.00208
122,8969.29,1.18873,0.64341,0.98343,0.79586,0.5899,0.6704,0.43379,1.15469,0.60455,0.98223,0.002014,0.002014,0.002014
