epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.633,6.86449,5.385,4.19702,0.00585,0.00168,0.00056,0.00016,6.06724,5.12197,4.3006,0.0700815,0.00332428,0.00332428
2,278.479,5.27418,4.52928,3.58566,0.00102,0.04068,0.00055,0.00014,6.06182,109.386,4.35437,0.0400376,0.00661367,0.00661367
3,409.992,3.8713,3.06246,2.44956,0.58328,0.07605,0.05385,0.01804,3.39633,2.92051,2.19872,0.00994964,0.00985906,0.00985906
4,552.07,3.06746,2.36479,1.99299,0.30349,0.11742,0.09908,0.03839,2.65682,1.95795,1.83552,0.009802,0.009802,0.009802
5,826.254,2.63379,2.00407,1.76537,0.45962,0.13791,0.14162,0.06043,2.43768,1.66463,1.69706,0.009736,0.009736,0.009736
6,1097.95,2.38535,1.7622,1.64128,0.44236,0.21175,0.17374,0.08242,2.19938,1.61298,1.595,0.00967,0.00967,0.00967
7,1425.5,2.24802,1.59891,1.56511,0.53273,0.22694,0.21042,0.09777,2.17095,1.45039,1.5433,0.009604,0.009604,0.009604
8,1559.2,2.13228,1.46286,1.50469,0.56356,0.24698,0.25116,0.12549,1.9784,1.32274,1.46378,0.009538,0.009538,0.009538
9,1689.02,2.04827,1.36768,1.46064,0.60729,0.26309,0.26393,0.13975,1.91853,1.25128,1.43065,0.009472,0.009472,0.009472
10,1812.85,1.99248,1.30396,1.42592,0.67519,0.26154,0.29307,0.15797,1.87961,1.20495,1.40037,0.009406,0.009406,0.009406
11,1935.04,1.9345,1.24842,1.39652,0.61404,0.27729,0.30318,0.16947,1.82323,1.16893,1.37327,0.00934,0.00934,0.00934
12,2056.11,1.87397,1.18312,1.36554,0.50734,0.28996,0.3159,0.17375,1.76041,1.11546,1.34844,0.009274,0.009274,0.009274
13,2177.38,1.83949,1.15672,1.34872,0.54525,0.32978,0.34763,0.18947,1.72512,1.11992,1.3266,0.009208,0.009208,0.009208
14,2298.62,1.81174,1.12008,1.32929,0.56491,0.3469,0.3701,0.21449,1.69565,1.03998,1.30995,0.009142,0.009142,0.009142
15,2420.03,1.77272,1.09459,1.31879,0.49421,0.33351,0.38677,0.21682,1.66338,1.0148,1.2925,0.009076,0.009076,0.009076
16,2540.98,1.73018,1.06433,1.29064,0.50667,0.38122,0.39723,0.22042,1.62715,0.99794,1.27344,0.00901,0.00901,0.00901
17,2662.39,1.71352,1.03252,1.28213,0.59833,0.38136,0.40949,0.23823,1.61794,0.99213,1.26988,0.008944,0.008944,0.008944
18,2783.56,1.68913,1.01687,1.2732,0.554,0.38046,0.39751,0.22919,1.64647,0.98255,1.27169,0.008878,0.008878,0.008878
19,2904.56,1.66216,0.98931,1.25948,0.60516,0.363,0.41473,0.23894,1.57306,0.92993,1.24833,0.008812,0.008812,0.008812
20,3025.73,1.64794,0.98077,1.25743,0.61716,0.39036,0.43822,0.25637,1.56905,0.91529,1.24612,0.008746,0.008746,0.008746
21,3147.17,1.61834,0.96504,1.23583,0.58951,0.40304,0.43943,0.25662,1.53374,0.91693,1.22607,0.00868,0.00868,0.00868
22,3267.91,1.60903,0.94098,1.2202,0.63561,0.41161,0.45223,0.26619,1.53049,0.91324,1.22967,0.008614,0.008614,0.008614
