epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6255.08,1.40136,0.80014,1.1066,0.71845,0.48719,0.54804,0.33932,1.34198,0.76486,1.10056,0.007228,0.007228,0.007228
44,6395.19,1.39732,0.78981,1.10028,0.70189,0.49164,0.54521,0.3344,1.35417,0.76727,1.10768,0.007162,0.007162,0.007162
45,6535.4,1.38349,0.77417,1.09439,0.72105,0.47812,0.55775,0.34097,1.33617,0.75365,1.09838,0.007096,0.007096,0.007096
46,6676.16,1.38961,0.78142,1.09633,0.72701,0.49748,0.56791,0.34823,1.32268,0.73709,1.09205,0.00703,0.00703,0.00703
47,6815.57,1.37291,0.769,1.09615,0.71561,0.48596,0.54644,0.33698,1.33261,0.75457,1.09476,0.006964,0.006964,0.006964
48,6955.97,1.36642,0.76231,1.08837,0.73712,0.49585,0.56571,0.34826,1.32666,0.74036,1.09365,0.006898,0.006898,0.006898
49,7095.66,1.36778,0.76506,1.08651,0.66578,0.51951,0.56753,0.34817,1.3196,0.74211,1.08763,0.006832,0.006832,0.006832
50,7235.01,1.35285,0.76154,1.08711,0.72031,0.49222,0.56292,0.3497,1.31255,0.73012,1.08373,0.006766,0.006766,0.006766
51,7375.07,1.36137,0.76503,1.08061,0.70377,0.5014,0.56302,0.35092,1.30811,0.73592,1.08376,0.0067,0.0067,0.0067
52,7515.58,1.34421,0.75016,1.07989,0.68885,0.52973,0.58221,0.36008,1.30947,0.7261,1.0864,0.006634,0.006634,0.006634
53,7656.5,1.34194,0.74533,1.07781,0.75265,0.50486,0.57339,0.35776,1.29736,0.71493,1.08112,0.006568,0.006568,0.006568
54,7797.02,1.33779,0.742,1.07728,0.76051,0.50157,0.57639,0.35672,1.29993,0.7197,1.07879,0.006502,0.006502,0.006502
55,7937.71,1.33545,0.74407,1.07529,0.69288,0.51598,0.57011,0.35609,1.29926,0.71866,1.08226,0.006436,0.006436,0.006436
56,8075.76,1.31886,0.73544,1.06789,0.69983,0.5099,0.5744,0.35835,1.29004,0.70613,1.07525,0.00637,0.00637,0.00637
57,8212.2,1.32753,0.7324,1.07244,0.72711,0.51175,0.58352,0.3608,1.28157,0.70433,1.07006,0.006304,0.006304,0.006304
58,8351.1,1.33113,0.72997,1.06897,0.72839,0.50332,0.5789,0.36155,1.27988,0.71326,1.07135,0.006238,0.006238,0.006238
59,8501.12,1.30873,0.71639,1.06224,0.73056,0.53111,0.59242,0.36976,1.26965,0.70268,1.06353,0.006172,0.006172,0.006172
60,8657.31,1.30663,0.71822,1.06187,0.71592,0.5325,0.59146,0.3702,1.26512,0.69942,1.06228,0.006106,0.006106,0.006106
61,8811,1.30483,0.71442,1.05437,0.72955,0.51418,0.58242,0.36253,1.27183,0.69309,1.06022,0.00604,0.00604,0.00604
62,9082.2,1.29298,0.70878,1.05171,0.73493,0.52916,0.59179,0.37198,1.26302,0.68749,1.05881,0.005974,0.005974,0.005974
63,9360.87,1.29048,0.70837,1.04788,0.6886,0.54717,0.59834,0.37272,1.24995,0.68664,1.05515,0.005908,0.005908,0.005908
64,9640.07,1.30216,0.71615,1.05264,0.72698,0.53924,0.60046,0.3744,1.26512,0.70193,1.05424,0.005842,0.005842,0.005842
65,9921.11,1.30082,0.7124,1.05289,0.73214,0.52981,0.59977,0.36796,1.27076,0.69665,1.06148,0.005776,0.005776,0.005776
66,10204.2,1.29027,0.71142,1.05019,0.75298,0.53118,0.59781,0.38324,1.2504,0.68515,1.04892,0.00571,0.00571,0.00571
67,10381.6,1.28595,0.702,1.04564,0.76269,0.52837,0.60608,0.3802,1.25395,0.68177,1.04961,0.005644,0.005644,0.005644
68,10568.4,1.28181,0.69999,1.04001,0.77766,0.51982,0.60679,0.38312,1.25249,0.67974,1.05043,0.005578,0.005578,0.005578
69,10735.7,1.27908,0.70125,1.03709,0.72167,0.54369,0.6042,0.38204,1.25657,0.681,1.04968,0.005512,0.005512,0.005512
70,10872.3,1.27525,0.69703,1.04287,0.76052,0.54537,0.61366,0.38151,1.26074,0.68104,1.05528,0.005446,0.005446,0.005446
71,11022.6,1.27338,0.69441,1.03889,0.73825,0.5435,0.61636,0.38997,1.23865,0.672,1.04663,0.00538,0.00538,0.00538
72,11193.5,1.26757,0.69154,1.03637,0.74367,0.53172,0.60726,0.382,1.23421,0.67175,1.04646,0.005314,0.005314,0.005314
73,11368.7,1.26849,0.69046,1.03249,0.77295,0.54457,0.61742,0.39252,1.23622,0.66391,1.04186,0.005248,0.005248,0.005248
74,11662.7,1.26237,0.68752,1.03043,0.7313,0.57049,0.62593,0.39334,1.23102,0.66533,1.04167,0.005182,0.005182,0.005182
75,11964.7,1.26398,0.68078,1.03486,0.74799,0.56368,0.62549,0.39587,1.24074,0.66629,1.04352,0.005116,0.005116,0.005116
76,12273.5,1.24954,0.67955,1.0287,0.76937,0.53031,0.61869,0.38902,1.22727,0.66574,1.0398,0.00505,0.00505,0.00505
