epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10709.2,1.25956,0.82344,1.13853,0.70938,0.54579,0.60378,0.36487,1.19327,0.73995,1.13334,0.0095941,0.0095941,0.0095941
43,10951.7,1.25102,0.81457,1.13949,0.74934,0.53086,0.61244,0.3684,1.18899,0.7438,1.12639,0.0095842,0.0095842,0.0095842
44,11180.9,1.24456,0.80284,1.13223,0.74991,0.53573,0.60961,0.37187,1.19297,0.72637,1.13037,0.0095743,0.0095743,0.0095743
45,11433.1,1.23301,0.80088,1.13013,0.74553,0.53269,0.60104,0.36505,1.19747,0.75432,1.13181,0.0095644,0.0095644,0.0095644
46,11682.3,1.2314,0.79219,1.12475,0.74855,0.54242,0.61214,0.37076,1.19985,0.73493,1.13036,0.0095545,0.0095545,0.0095545
47,11928.6,1.24045,0.79552,1.12343,0.72734,0.55275,0.60952,0.36966,1.19564,0.73254,1.12839,0.0095446,0.0095446,0.0095446
48,12169.5,1.22991,0.78686,1.12806,0.76845,0.54389,0.61793,0.38173,1.17109,0.72103,1.12139,0.0095347,0.0095347,0.0095347
49,12411.8,1.22397,0.76992,1.11871,0.74229,0.54819,0.62388,0.3845,1.16937,0.72401,1.12159,0.0095248,0.0095248,0.0095248
50,12658.8,1.22736,0.7884,1.12051,0.73174,0.54868,0.61981,0.38208,1.15887,0.70433,1.10738,0.0095149,0.0095149,0.0095149
51,12917.5,1.21385,0.77217,1.11863,0.77403,0.52343,0.61193,0.38067,1.17496,0.72005,1.1162,0.009505,0.009505,0.009505
52,13171.8,1.21194,0.77454,1.11509,0.78042,0.56148,0.6376,0.39186,1.15582,0.69753,1.10956,0.0094951,0.0094951,0.0094951
53,13420.3,1.20058,0.75894,1.10805,0.79511,0.55634,0.64084,0.39422,1.15721,0.70394,1.10375,0.0094852,0.0094852,0.0094852
54,13681.3,1.21223,0.76513,1.11442,0.7615,0.55293,0.63167,0.39072,1.16953,0.71767,1.1133,0.0094753,0.0094753,0.0094753
55,13895.2,1.19797,0.74662,1.10523,0.75951,0.56499,0.64042,0.40457,1.14589,0.687,1.09914,0.0094654,0.0094654,0.0094654
