epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.781,6.7115,5.63205,4.43182,0.00056,0.00251,0.00027,8e-05,0,0,2834,5.98214,7.42693,5.07867,0.0700815,0.00332428,0.00332428
2,364.609,6.25505,5.33657,4.24171,0.00127,0.05864,0.00074,0.0002,0,0,2834,5.45226,4.43924,3.91008,0.0400376,0.00661367,0.00661367
3,519.101,4.42309,3.78832,3.07919,0.57691,0.06988,0.04198,0.01275,0.00112,0.00024,2834,3.79302,5.59129,2.45986,0.00994964,0.00985906,0.00985906
4,669.525,3.1561,2.53212,2.0864,0.30473,0.11142,0.1056,0.04061,0.00715,0.00182,2834,2.66898,1.94448,1.85505,0.009802,0.009802,0.009802
