epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,3295.69,1.67857,0.86579,1.18286,0.71213,0.56139,0.64376,0.33154,0.19949,0.0761,3770,1.64048,0.83742,1.1671,0.00769,0.00769,0.00769
37,3377.29,1.67256,0.86164,1.17563,0.72743,0.57414,0.64897,0.33255,0.2072,0.07886,3770,1.63523,0.82929,1.17124,0.007624,0.007624,0.007624
38,3458.8,1.65887,0.85212,1.17042,0.69941,0.56808,0.64639,0.33418,0.20872,0.0813,3770,1.63816,0.829,1.16784,0.007558,0.007558,0.007558
39,3540.59,1.65101,0.84482,1.16377,0.71658,0.58062,0.65176,0.33629,0.20936,0.07956,3770,1.62429,0.82176,1.16268,0.007492,0.007492,0.007492
40,3622.02,1.65117,0.84479,1.16625,0.70085,0.5895,0.65117,0.33878,0.20266,0.07843,3770,1.61576,0.82046,1.15433,0.007426,0.007426,0.007426
41,3703.63,1.64941,0.84348,1.16616,0.71485,0.58369,0.66463,0.34287,0.21601,0.08349,3770,1.61823,0.80813,1.16147,0.00736,0.00736,0.00736
42,3785.5,1.64573,0.84382,1.15954,0.73971,0.58289,0.66957,0.34317,0.2229,0.08618,3770,1.61783,0.81669,1.15634,0.007294,0.007294,0.007294
43,3867.09,1.64288,0.84076,1.15803,0.73109,0.58865,0.66681,0.34208,0.21707,0.08271,3770,1.62559,0.80967,1.15737,0.007228,0.007228,0.007228
44,3948.85,1.6357,0.8361,1.15616,0.71662,0.5926,0.67082,0.34624,0.22444,0.08825,3770,1.62196,0.8122,1.15801,0.007162,0.007162,0.007162
45,4030.72,1.62534,0.82842,1.14932,0.7379,0.58319,0.66914,0.34741,0.22294,0.08753,3770,1.59483,0.80453,1.14467,0.007096,0.007096,0.007096
46,4112.55,1.62584,0.8247,1.14981,0.72067,0.59629,0.66457,0.34448,0.21684,0.08423,3770,1.61824,0.80523,1.14837,0.00703,0.00703,0.00703
47,4193.87,1.62182,0.82876,1.15163,0.72837,0.60316,0.68042,0.35222,0.23346,0.09253,3770,1.60408,0.8163,1.14878,0.006964,0.006964,0.006964
