epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/clpf_loss,train/mf_sigreg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,val/clpf_loss,val/mf_sigreg_loss,lr/pg0,lr/pg1,lr/pg2
138,40660.8,1.01462,0.53153,0.9555,0.01764,0,0.81411,0.61048,0.69326,0.45363,0.09523,0.03612,2834,1.11932,0.56178,1.01613,0,0,0.000958,0.000958,0.000958
139,41000.5,1.02086,0.53455,0.95405,0.01767,0,0.81845,0.6155,0.69128,0.45374,0.09602,0.03677,2834,1.11606,0.56089,1.01432,0,0,0.000892,0.000892,0.000892
140,41304.2,1.00732,0.52921,0.94983,0.01785,0,0.80739,0.62122,0.68981,0.45387,0.09697,0.03719,2834,1.11642,0.56013,1.01533,0,0,0.000826,0.000826,0.000826
141,41623.9,1.0096,0.52797,0.94634,0.01767,0,0.81886,0.60598,0.6908,0.45491,0.09599,0.03647,2834,1.1145,0.55891,1.01439,0,0,0.00076,0.00076,0.00076
142,41927.9,1.00795,0.52821,0.94793,0.01766,0,0.82397,0.60759,0.69185,0.45485,0.09745,0.03657,2834,1.11359,0.55693,1.01368,0,0,0.000694,0.000694,0.000694
143,42228.5,1.00486,0.52825,0.94589,0.01752,0,0.80319,0.62195,0.69261,0.45631,0.09767,0.03706,2834,1.11121,0.55903,1.01303,0,0,0.000628,0.000628,0.000628
144,42529.6,0.99904,0.5251,0.94708,0.01753,0,0.7995,0.62899,0.69555,0.45633,0.09762,0.03716,2834,1.11326,0.55746,1.01323,0,0,0.000562,0.000562,0.000562
145,42830.3,1.00155,0.52357,0.94753,0.01761,0,0.7977,0.62617,0.69568,0.45702,0.0985,0.03729,2834,1.11377,0.55744,1.01333,0,0,0.000496,0.000496,0.000496
146,43131.3,1.00944,0.52696,0.94884,0.01765,0,0.81188,0.61695,0.69384,0.45698,0.09813,0.03765,2834,1.11167,0.55636,1.01206,0,0,0.00043,0.00043,0.00043
147,43432.6,0.99937,0.52574,0.94711,0.01758,0,0.80721,0.61494,0.69713,0.45755,0.09854,0.0373,2834,1.11261,0.55624,1.01246,0,0,0.000364,0.000364,0.000364
148,43734.2,0.99282,0.52205,0.94439,0.01744,0,0.81341,0.61481,0.69707,0.45603,0.09907,0.03725,2834,1.11298,0.55575,1.01229,0,0,0.000298,0.000298,0.000298
149,44035.9,0.99568,0.52363,0.94874,0.01747,0,0.8171,0.61239,0.69515,0.4558,0.09785,0.03727,2834,1.11305,0.5562,1.01337,0,0,0.000232,0.000232,0.000232
150,44337,0.984,0.51851,0.944,0.01752,0,0.79993,0.62271,0.69656,0.45682,0.09753,0.03737,2834,1.11323,0.55603,1.01357,0,0,0.000166,0.000166,0.000166
