epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/clpf_loss,train/mf_sigreg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,val/clpf_loss,val/mf_sigreg_loss,lr/pg0,lr/pg1,lr/pg2
32,8834.76,1.42087,0.81116,1.13017,0.02165,0,0.7121,0.47295,0.53218,0.32056,0.04676,0.01512,2834,1.37025,0.79081,1.13516,0,0,0.007954,0.007954,0.007954
33,9107,1.40181,0.79956,1.12461,0.02174,0,0.71208,0.49148,0.54478,0.33598,0.04592,0.01549,2834,1.3406,0.76113,1.12297,0,0,0.007888,0.007888,0.007888
34,9377.34,1.39339,0.79676,1.12179,0.02151,0,0.72058,0.4574,0.52288,0.31533,0.03991,0.01289,2834,1.37528,0.80209,1.13574,0,0,0.007822,0.007822,0.007822
35,9645.15,1.38653,0.79083,1.11693,0.02134,0,0.72739,0.47647,0.54577,0.33225,0.04836,0.01575,2834,1.34667,0.76625,1.12466,0,0,0.007756,0.007756,0.007756
36,9920.93,1.37557,0.78504,1.11043,0.02145,0,0.73422,0.47286,0.55316,0.33512,0.05061,0.01714,2834,1.3518,0.76787,1.11989,0,0,0.00769,0.00769,0.00769
37,10190.8,1.36532,0.77915,1.10645,0.02098,0,0.72195,0.47432,0.53635,0.3247,0.05281,0.01735,2834,1.34376,0.7721,1.11792,0,0,0.007624,0.007624,0.007624
38,10461.9,1.36033,0.76424,1.09759,0.02016,0,0.68219,0.47795,0.52379,0.3183,0.0526,0.01713,2834,1.35041,0.77615,1.11905,0,0,0.007558,0.007558,0.007558
39,10744.2,1.35001,0.76016,1.10118,0.02081,0,0.74573,0.49102,0.56197,0.34618,0.05281,0.01702,2834,1.30749,0.73562,1.1051,0,0,0.007492,0.007492,0.007492
40,11244.7,1.34626,0.75429,1.09655,0.02094,0,0.6676,0.52496,0.55713,0.34268,0.05238,0.01749,2834,1.31066,0.73254,1.10394,0,0,0.007426,0.007426,0.007426
41,11549.9,1.33971,0.75065,1.09216,0.02085,0,0.72625,0.49461,0.56969,0.34688,0.05775,0.01852,2834,1.3078,0.73098,1.09946,0,0,0.00736,0.00736,0.00736
42,11833.8,1.33778,0.7492,1.09107,0.0206,0,0.70242,0.51581,0.56634,0.34935,0.05471,0.01848,2834,1.29992,0.72275,1.09887,0,0,0.007294,0.007294,0.007294
43,12111.5,1.32767,0.74922,1.09086,0.02038,0,0.69401,0.52343,0.57052,0.35093,0.06021,0.01977,2834,1.30496,0.73523,1.10043,0,0,0.007228,0.007228,0.007228
44,12399.8,1.3116,0.73799,1.08395,0.02052,0,0.74107,0.50982,0.57507,0.35302,0.05865,0.01997,2834,1.2891,0.72367,1.09691,0,0,0.007162,0.007162,0.007162
45,12686.4,1.31371,0.72848,1.08311,0.02071,0,0.69709,0.52008,0.56943,0.34614,0.05872,0.01966,2834,1.29114,0.72042,1.09772,0,0,0.007096,0.007096,0.007096
46,12966.3,1.31273,0.73133,1.08222,0.02057,0,0.69585,0.49717,0.56585,0.35027,0.0573,0.01929,2834,1.293,0.72321,1.09619,0,0,0.00703,0.00703,0.00703
47,13245.9,1.29415,0.7214,1.07584,0.02054,0,0.76384,0.50171,0.57785,0.35872,0.05487,0.01849,2834,1.2764,0.70282,1.08925,0,0,0.006964,0.006964,0.006964
48,13523.9,1.28884,0.71496,1.07179,0.02004,0,0.74665,0.51945,0.57796,0.35821,0.06487,0.02175,2834,1.26881,0.70189,1.0877,0,0,0.006898,0.006898,0.006898
49,13799.4,1.28514,0.71656,1.06961,0.01992,0,0.72537,0.51937,0.58515,0.36408,0.06135,0.02135,2834,1.26338,0.70946,1.08261,0,0,0.006832,0.006832,0.006832
50,14076.8,1.28013,0.70955,1.06918,0.0201,0,0.76925,0.50972,0.59564,0.37014,0.0611,0.02098,2834,1.25405,0.68122,1.07968,0,0,0.006766,0.006766,0.006766
51,14356.5,1.28669,0.71354,1.06711,0.02052,0,0.71922,0.53664,0.58498,0.3656,0.0617,0.02113,2834,1.25884,0.69784,1.08238,0,0,0.0067,0.0067,0.0067
52,14634.4,1.2793,0.70453,1.06414,0.02025,0,0.76754,0.52215,0.58908,0.37045,0.06048,0.02113,2834,1.24892,0.69163,1.07743,0,0,0.006634,0.006634,0.006634
53,15009.6,1.27027,0.69808,1.05997,0.02029,0,0.76164,0.52152,0.59856,0.37061,0.06353,0.02295,2834,1.26741,0.68751,1.08383,0,0,0.006568,0.006568,0.006568
54,15367.4,1.2632,0.69808,1.06187,0.02023,0,0.75317,0.52838,0.59443,0.37083,0.06444,0.02261,2834,1.25501,0.67975,1.07514,0,0,0.006502,0.006502,0.006502
55,15644.4,1.26794,0.69563,1.0612,0.02,0,0.76109,0.54549,0.60335,0.3763,0.06814,0.02287,2834,1.24179,0.67069,1.07516,0,0,0.006436,0.006436,0.006436
56,15934,1.25424,0.68801,1.05595,0.02003,0,0.75447,0.53544,0.59535,0.37247,0.06547,0.0226,2834,1.24006,0.67264,1.07343,0,0,0.00637,0.00637,0.00637
57,16214.3,1.25368,0.69099,1.05687,0.0202,0,0.7568,0.53954,0.60479,0.38104,0.07038,0.02472,2834,1.23895,0.68208,1.07448,0,0,0.006304,0.006304,0.006304
58,16495.1,1.25787,0.69127,1.05323,0.01986,0,0.73752,0.53139,0.59567,0.37902,0.06675,0.02434,2834,1.23286,0.67042,1.06411,0,0,0.006238,0.006238,0.006238
59,16773.8,1.23915,0.67316,1.05014,0.01986,0,0.73336,0.55776,0.60677,0.37806,0.06503,0.02356,2834,1.23327,0.66524,1.06972,0,0,0.006172,0.006172,0.006172
60,17053.9,1.23526,0.67429,1.04744,0.01995,0,0.7622,0.53262,0.60692,0.37931,0.06682,0.02354,2834,1.23394,0.66028,1.06866,0,0,0.006106,0.006106,0.006106
61,17334,1.23353,0.6716,1.04554,0.01974,0,0.77377,0.53869,0.60864,0.38912,0.06676,0.02421,2834,1.22309,0.65314,1.06007,0,0,0.00604,0.00604,0.00604
62,17614.8,1.22706,0.66567,1.04117,0.01953,0,0.77719,0.5363,0.61012,0.38812,0.06796,0.02544,2834,1.21598,0.65529,1.06093,0,0,0.005974,0.005974,0.005974
63,17896.1,1.22098,0.66438,1.03921,0.01974,0,0.74636,0.54225,0.61041,0.38064,0.0694,0.02419,2834,1.21699,0.66341,1.06472,0,0,0.005908,0.005908,0.005908
