epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10836.4,1.4016,0.77865,1.1353,0.7053,0.494,0.55505,0.3408,1.35951,0.76607,1.13798,0.007228,0.007228,0.007228
44,11137.8,1.39837,0.76821,1.13156,0.73246,0.49779,0.55715,0.34064,1.35674,0.74227,1.13671,0.007162,0.007162,0.007162
45,11438.6,1.39535,0.75981,1.12541,0.71563,0.48101,0.54571,0.34121,1.34177,0.74867,1.13183,0.007096,0.007096,0.007096
46,11737,1.39365,0.76515,1.12865,0.72843,0.48964,0.55513,0.34672,1.34754,0.75236,1.12967,0.00703,0.00703,0.00703
47,12014.9,1.37463,0.75494,1.12415,0.72176,0.49049,0.55725,0.34808,1.33477,0.73677,1.12351,0.006964,0.006964,0.006964
48,12326.2,1.37774,0.74948,1.11799,0.71508,0.5139,0.56673,0.35098,1.32645,0.72004,1.12356,0.006898,0.006898,0.006898
49,12623.1,1.36551,0.74527,1.11551,0.72829,0.50355,0.56877,0.3484,1.33825,0.72833,1.12597,0.006832,0.006832,0.006832
50,12893.9,1.36263,0.74609,1.11549,0.74772,0.47282,0.55902,0.35077,1.30832,0.72494,1.1153,0.006766,0.006766,0.006766
51,13195.5,1.365,0.74524,1.10765,0.73065,0.50441,0.56681,0.35628,1.31719,0.71663,1.1175,0.0067,0.0067,0.0067
52,13506.4,1.35624,0.73276,1.10541,0.68749,0.53628,0.58082,0.36475,1.30312,0.70899,1.10799,0.006634,0.006634,0.006634
53,13808.2,1.34268,0.72688,1.09835,0.71039,0.51588,0.57355,0.35483,1.31094,0.71493,1.11084,0.006568,0.006568,0.006568
54,14093.8,1.34578,0.72827,1.10403,0.71685,0.51335,0.57637,0.35899,1.30522,0.70969,1.11011,0.006502,0.006502,0.006502
55,14380.2,1.33755,0.7221,1.09975,0.73672,0.50483,0.57778,0.36407,1.29633,0.70454,1.10361,0.006436,0.006436,0.006436
