epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/clpf_loss,train/mf_sigreg_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,val/clpf_loss,val/mf_sigreg_loss,lr/pg0,lr/pg1,lr/pg2
1,418.193,6.40177,5.02822,4.15919,0.05995,0,0.0053,0.00403,0.00171,0.00048,0,0,2834,5.44417,16.0551,4.85007,0,0,0.0700815,0.00332428,0.00332428
2,877.638,4.58294,3.76548,3.17707,0.05856,0,0.03218,0.08795,0.01765,0.00436,0.00109,0.00021,2834,4.44263,11.3018,2.85879,0,0,0.0400376,0.00661367,0.00661367
3,1334.63,3.47465,2.64295,2.23793,0.04928,0,0.60503,0.08786,0.0642,0.02315,0.00218,0.00054,2834,3.16215,2.74489,2.06581,0,0,0.00994964,0.00985906,0.00985906
4,1773.44,2.83019,2.14255,1.86712,0.04254,0,0.38692,0.13815,0.12519,0.0524,0.00698,0.00186,2834,2.46893,1.80943,1.72178,0,0,0.009802,0.009802,0.009802
5,2191.51,2.47514,1.82975,1.67807,0.03758,0,0.42631,0.2304,0.19646,0.08994,0.01302,0.00362,2834,2.20636,1.57929,1.59685,0,0,0.009736,0.009736,0.009736
6,2527.94,2.25699,1.60864,1.55914,0.03515,0,0.53196,0.2367,0.23881,0.11135,0.01293,0.00406,2834,2.10334,1.47498,1.52849,0,0,0.00967,0.00967,0.00967
7,2862,2.13158,1.45786,1.48685,0.03347,0,0.63184,0.24895,0.27979,0.13419,0.01511,0.0043,2834,2.05801,1.29599,1.45922,0,0,0.009604,0.009604,0.009604
8,3257.76,2.02555,1.35103,1.43254,0.03157,0,0.65332,0.278,0.30405,0.1545,0.02512,0.00777,2834,1.86754,1.20695,1.38573,0,0,0.009538,0.009538,0.009538
