epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5463.06,1.43035,0.82011,1.09433,0.69807,0.47981,0.53852,0.32066,1.40122,0.80207,1.09975,0.007228,0.007228,0.007228
44,5609.54,1.42309,0.80166,1.08553,0.76257,0.47017,0.55681,0.3402,1.37032,0.78375,1.09112,0.007162,0.007162,0.007162
45,5751.49,1.41743,0.7924,1.08409,0.70997,0.48649,0.54973,0.34368,1.36054,0.7756,1.08413,0.007096,0.007096,0.007096
46,5892.12,1.41079,0.79744,1.08272,0.72421,0.47983,0.54398,0.32804,1.38393,0.78803,1.09232,0.00703,0.00703,0.00703
47,6032.51,1.40051,0.78874,1.08229,0.76222,0.48136,0.56077,0.34856,1.34374,0.76274,1.07745,0.006964,0.006964,0.006964
48,6181.76,1.39834,0.78195,1.07485,0.74054,0.50392,0.56696,0.35163,1.34502,0.76011,1.07566,0.006898,0.006898,0.006898
49,6329.05,1.3897,0.77649,1.07427,0.69985,0.50169,0.5656,0.34932,1.34795,0.75723,1.07674,0.006832,0.006832,0.006832
50,6466.56,1.38245,0.77846,1.07364,0.71155,0.51119,0.56976,0.35392,1.32927,0.75514,1.0699,0.006766,0.006766,0.006766
51,6610.9,1.38922,0.78474,1.06819,0.69624,0.50641,0.56642,0.35087,1.33131,0.74798,1.06805,0.0067,0.0067,0.0067
52,6758.07,1.38003,0.77179,1.06647,0.72324,0.50474,0.57168,0.35492,1.33689,0.74435,1.06866,0.006634,0.006634,0.006634
53,6885.74,1.37689,0.76834,1.06508,0.73684,0.52379,0.57787,0.35705,1.33658,0.73982,1.07168,0.006568,0.006568,0.006568
54,7013.27,1.36314,0.76288,1.06156,0.73969,0.49719,0.57402,0.3521,1.326,0.74151,1.06718,0.006502,0.006502,0.006502
55,7141.4,1.37081,0.76549,1.06698,0.76244,0.48893,0.56742,0.35818,1.31917,0.72756,1.06006,0.006436,0.006436,0.006436
56,7269.93,1.35819,0.75718,1.05842,0.76255,0.4946,0.5789,0.35874,1.31031,0.73037,1.05784,0.00637,0.00637,0.00637
57,7397.19,1.35564,0.75175,1.05955,0.71623,0.51727,0.57371,0.35529,1.31653,0.73218,1.06264,0.006304,0.006304,0.006304
58,7524.56,1.35549,0.75128,1.05526,0.75033,0.50905,0.58662,0.36936,1.30296,0.72137,1.05939,0.006238,0.006238,0.006238
59,7647.79,1.34259,0.7425,1.05216,0.73523,0.52412,0.59551,0.37519,1.29329,0.71232,1.05803,0.006172,0.006172,0.006172
60,7769.29,1.33143,0.73725,1.0485,0.75807,0.52852,0.59631,0.37248,1.29106,0.71631,1.05133,0.006106,0.006106,0.006106
61,7890.86,1.33103,0.73022,1.0449,0.67856,0.54253,0.58746,0.37365,1.28397,0.7147,1.05112,0.00604,0.00604,0.00604
62,8016.34,1.3172,0.72722,1.04025,0.75265,0.51621,0.59166,0.37289,1.28564,0.7044,1.04856,0.005974,0.005974,0.005974
63,8140.53,1.31685,0.72305,1.04191,0.74667,0.53201,0.60051,0.3753,1.2923,0.7067,1.04897,0.005908,0.005908,0.005908
64,8267.37,1.31682,0.72304,1.04231,0.73893,0.52164,0.58736,0.36991,1.27885,0.70737,1.05186,0.005842,0.005842,0.005842
65,8393.38,1.3171,0.72267,1.04377,0.77054,0.51015,0.59499,0.37388,1.26906,0.69944,1.04607,0.005776,0.005776,0.005776
66,8519.65,1.30801,0.72148,1.04125,0.68963,0.53431,0.59516,0.37169,1.27912,0.69852,1.04559,0.00571,0.00571,0.00571
67,8645.76,1.29638,0.71651,1.03608,0.71351,0.52956,0.59483,0.37946,1.26151,0.69725,1.03931,0.005644,0.005644,0.005644
