epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/mAP50_small(B),metrics/mAP50-95_small(B),metrics/small_instances(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.775,6.52888,4.63307,3.61787,0.00415,0.13036,0.00309,0.00073,0.00072,0.00016,3770,5.30929,3.49968,3.11423,0.0700584,0.00332685,0.00332685
2,202.631,4.47703,3.35128,2.57154,0.46444,0.14012,0.08568,0.02841,0.01241,0.00314,3770,3.56407,2.65452,2.12512,0.0400144,0.00661622,0.00661622
3,288.541,3.16039,2.18678,1.89647,0.47571,0.10732,0.08293,0.02723,0.01877,0.00533,3770,3.66072,2.55263,2.03188,0.00992645,0.0098616,0.0098616
4,376.065,2.66576,1.76731,1.66919,0.37188,0.30785,0.27781,0.11867,0.05734,0.01854,3770,2.48854,1.52377,1.60711,0.009802,0.009802,0.009802
5,463.35,2.42121,1.53496,1.54183,0.44473,0.33378,0.33442,0.14979,0.0768,0.02559,3770,2.29303,1.42285,1.49036,0.009736,0.009736,0.009736
6,550.601,2.26234,1.39036,1.47104,0.48211,0.37855,0.37598,0.17191,0.08022,0.02664,3770,2.17292,1.30096,1.44736,0.00967,0.00967,0.00967
7,637.156,2.16076,1.29004,1.41891,0.49756,0.38963,0.39965,0.18864,0.0896,0.03097,3770,2.0832,1.21464,1.3947,0.009604,0.009604,0.009604
8,724.24,2.10319,1.22151,1.3814,0.54932,0.36878,0.39653,0.18677,0.08784,0.03111,3770,2.07555,1.2661,1.391,0.009538,0.009538,0.009538
9,812.013,2.03026,1.16332,1.35056,0.5482,0.44244,0.46864,0.22556,0.11342,0.04107,3770,1.92635,1.08533,1.32309,0.009472,0.009472,0.009472
10,899.651,1.98495,1.12686,1.33305,0.55528,0.43695,0.45766,0.22327,0.11357,0.04097,3770,1.90932,1.08859,1.30682,0.009406,0.009406,0.009406
11,985.046,1.94595,1.08745,1.31215,0.59837,0.44501,0.48833,0.23547,0.11653,0.04142,3770,1.88186,1.10054,1.29451,0.00934,0.00934,0.00934
